寿命,坝体高度,坝体长度,坝体宽度,0.0,0.0,0.0,0.0,0.0,0.0,年平均流量,0.0
0.02,15.0,130.0,130.0,225.0,1950.0,1950.0,16900.0,16900.0,16900.0,11.0,121.0
0.04,44.0,370.0,1500.0,1936.0,16280.0,66000.0,136900.0,555000.0,2250000.0,30.13,907.8168999999999
0.04,18.0,100.0,450.0,324.0,1800.0,8100.0,10000.0,45000.0,202500.0,30.0,900.0
0.08,7.0,100.0,250.0,49.0,700.0,1750.0,10000.0,25000.0,62500.0,83.0,6889.0
0.08,8.0,300.0,300.0,64.0,2400.0,2400.0,90000.0,90000.0,90000.0,160.0,25600.0
0.1,10.0,150.0,150.0,100.0,1500.0,1500.0,22500.0,22500.0,22500.0,69.0,4761.0
0.2,25.0,160.0,300.0,625.0,4000.0,7500.0,25600.0,48000.0,90000.0,6.0,36.0
0.2,57.0,120.0,370.0,3249.0,6840.0,21090.0,14400.0,44400.0,136900.0,1581.0,2499561.0
0.289,80.0,100.0,350.0,6400.0,8000.0,28000.0,10000.0,35000.0,122500.0,20.0,400.0
0.4,20.0,120.0,120.0,400.0,2400.0,2400.0,14400.0,14400.0,14400.0,8.0,64.0
0.4,20.0,200.0,250.0,400.0,4000.0,5000.0,40000.0,50000.0,62500.0,7.0,49.0
0.4,25.0,200.0,250.0,625.0,5000.0,6250.0,40000.0,50000.0,62500.0,8.0,64.0
0.7,50.0,180.0,300.0,2500.0,9000.0,15000.0,32400.0,54000.0,90000.0,70.0,4900.0
1.0,60.0,250.0,250.0,3600.0,15000.0,15000.0,62500.0,62500.0,62500.0,2.0,4.0
1.0,20.0,200.0,120.0,400.0,4000.0,2400.0,40000.0,24000.0,14400.0,9.0,81.0
1.5,75.0,350.0,125.0,5625.0,26250.0,9375.0,122500.0,43750.0,15625.0,1.0,1.0
2.6,61.0,575.0,2000.0,3721.0,35075.0,122000.0,330625.0,1150000.0,4000000.0,1860.0,3459600.0
3.0,80.0,250.0,330.0,6400.0,20000.0,26400.0,62500.0,82500.0,108900.0,388.0,150544.0
3.0,80.0,850.0,2400.0,6400.0,68000.0,192000.0,722500.0,2040000.0,5760000.0,3867.0,14953689.0
3.0,77.0,652.0,3500.0,5929.0,50204.0,269500.0,425104.0,2282000.0,12250000.0,3867.0,14953689.0
5.0,190.0,600.0,500.0,36100.0,114000.0,95000.0,360000.0,300000.0,250000.0,4.0,16.0
6.0,140.0,400.0,180.0,19600.0,56000.0,25200.0,160000.0,72000.0,32400.0,3.0,9.0
6.0,38.0,110.0,350.0,1444.0,4180.0,13300.0,12100.0,38500.0,122500.0,3.0,9.0
9.0,175.0,200.0,3000.0,30625.0,35000.0,525000.0,40000.0,600000.0,9000000.0,290.0,84100.0
10.0,100.0,400.0,150.0,10000.0,40000.0,15000.0,160000.0,60000.0,22500.0,1.0,1.0
10.0,20.0,500.0,750.0,400.0,10000.0,15000.0,250000.0,375000.0,562500.0,572.0,327184.0
10.0,97.0,580.0,270.0,9409.0,56260.0,26190.0,336400.0,156600.0,72900.0,1860.0,3459600.0
13.0,37.0,105.0,100.0,1369.0,3885.0,3700.0,11025.0,10500.0,10000.0,9.0,81.0
17.0,80.0,300.0,700.0,6400.0,24000.0,56000.0,90000.0,210000.0,490000.0,16.0,256.0
19.0,65.0,1000.0,650.0,4225.0,65000.0,42250.0,1000000.0,650000.0,422500.0,100.0,10000.0
20.0,100.0,900.0,600.0,10000.0,90000.0,60000.0,810000.0,540000.0,360000.0,40.0,1600.0
22.0,70.0,200.0,450.0,4900.0,14000.0,31500.0,40000.0,90000.0,202500.0,1.0,1.0
23.0,60.0,390.0,450.0,3600.0,23400.0,27000.0,152100.0,175500.0,202500.0,0.8,0.6400000000000001
23.0,40.0,90.0,80.0,1600.0,3600.0,3200.0,8100.0,7200.0,6400.0,1.3,1.6900000000000002
