寿命,主要物质组成,坝体长度,0.0,年平均流量,0.0
0.01,100.0,80.0,6400.0,4.0,16.0
0.08,10.0,100.0,10000.0,83.0,6889.0
0.2,10.0,160.0,25600.0,6.0,36.0
0.7,10.0,180.0,32400.0,70.0,4900.0
1.8,100.0,274.0,75076.0,428.0,183184.0
3.5,10.0,250.0,62500.0,70.0,4900.0
10.0,1.0,580.0,336400.0,1860.0,3459600.0
13.9,10.0,600.0,360000.0,2.0,4.0
22.0,100.0,40.0,1600.0,9.0,81.0
25.0,100.0,200.0,40000.0,6.0,36.0
31.0,100.0,120.0,14400.0,15.0,225.0
59.0,10.0,620.0,384400.0,1.0,1.0
110.0,10.0,250.0,62500.0,3.0,9.0
350.0,10.0,250.0,62500.0,30.0,900.0
