寿命,主要物质组成,坝体体积,坝体高度,0.0,0.0,0.0,集水区面积,0.0
0.01,10.0,0.07,10.7,0.004900000000000001,0.749,114.48999999999998,11.0,121.0
0.1,10.0,0.15,10.0,0.0225,1.5,100.0,642.0,412164.0
0.4,10.0,0.63,25.0,0.39690000000000003,15.75,625.0,72.0,5184.0
1.0,10.0,0.43,10.0,0.18489999999999998,4.3,100.0,75.0,5625.0
1.0,100.0,0.05,12.0,0.0025000000000000005,0.6000000000000001,144.0,2.8,7.839999999999999
5.0,10.0,10.0,190.0,100.0,1900.0,36100.0,36.0,1296.0
10.0,10.0,2.6,100.0,6.760000000000001,260.0,10000.0,0.6,0.36
19.0,10.0,2.0,65.0,4.0,130.0,4225.0,2630.0,6916900.0
23.0,100.0,2.0,60.0,4.0,120.0,3600.0,243.0,59049.0
29.0,100.0,20.37,82.0,414.93690000000004,1670.3400000000001,6724.0,3550.0,12602500.0
63.0,10.0,0.3,9.0,0.09,2.6999999999999997,81.0,79.0,6241.0
332.0,1.0,4.0,70.0,16.0,280.0,4900.0,21.0,441.0
900.0,100.0,0.43,40.0,0.18489999999999998,17.2,1600.0,576.0,331776.0
