寿命,主要物质组成,坝体体积,坝体高度,0.0,0.0,0.0,集水区面积,0.0
0.01,100.0,0.18,10.0,0.0324,1.7999999999999998,100.0,60.0,3600.0
0.02,10.0,0.094,15.0,0.008836,1.41,225.0,101.0,10201.0
0.04,10.0,0.41,18.0,0.16809999999999997,7.38,324.0,276.0,76176.0
0.08,10.0,0.073,7.0,0.0053289999999999995,0.511,49.0,780.0,608400.0
0.2,10.0,0.23,10.0,0.0529,2.3000000000000003,100.0,282.0,79524.0
0.2,10.0,0.45,25.0,0.2025,11.25,625.0,51.0,2601.0
0.289,10.0,2.5,80.0,6.25,200.0,6400.0,184.0,33856.0
0.35,100.0,0.02,15.0,0.0004,0.3,225.0,652.0,425104.0
0.4,1.0,0.6,20.0,0.36,12.0,400.0,61.0,3721.0
0.4,10.0,0.63,20.0,0.39690000000000003,12.6,400.0,75.0,5625.0
0.7,10.0,0.85,50.0,0.7224999999999999,42.5,2500.0,657.0,431649.0
0.7,10.0,3.1,110.0,9.610000000000001,341.0,12100.0,530.0,280900.0
1.0,10.0,1.1,60.0,1.2100000000000002,66.0,3600.0,15.0,225.0
1.0,10.0,0.1,20.0,0.010000000000000002,2.0,400.0,83.0,6889.0
1.0,1.0,0.3,20.0,0.09,6.0,400.0,17.3,299.29
1.0,1.0,7.0,25.0,49.0,175.0,625.0,90.8,8244.64
1.5,10.0,1.1,75.0,1.2100000000000002,82.5,5625.0,7.0,49.0
3.0,1.0,1.0,15.0,1.0,15.0,225.0,81.6,6658.5599999999995
3.5,10.0,3.3,80.0,10.889999999999999,264.0,6400.0,480.0,230400.0
5.0,10.0,0.55,32.0,0.30250000000000005,17.6,1024.0,507.0,257049.0
6.0,1.0,3.4,140.0,11.559999999999999,476.0,19600.0,28.0,784.0
6.0,100.0,0.96,38.0,0.9216,36.48,1444.0,38.0,1444.0
10.0,10.0,1.0,7.0,1.0,7.0,49.0,522.0,272484.0
10.0,100.0,18.0,50.0,324.0,900.0,2500.0,1223.0,1495729.0
10.0,100.0,12.0,20.0,144.0,240.0,400.0,1236.0,1527696.0
13.9,10.0,0.4,150.0,0.16000000000000003,60.0,22500.0,79.0,6241.0
14.0,1.0,24.0,110.0,576.0,2640.0,12100.0,68.0,4624.0
17.0,10.0,13.0,80.0,169.0,1040.0,6400.0,154.0,23716.0
20.0,100.0,20.25,100.0,410.0625,2025.0,10000.0,554.0,306916.0
22.0,10.0,2.6,70.0,6.760000000000001,182.0,4900.0,3.2,10.240000000000002
22.0,10.0,4.2,80.0,17.64,336.0,6400.0,7.3,53.29
23.0,100.0,0.14,30.0,0.019600000000000003,4.2,900.0,53.0,2809.0
23.0,100.0,0.2,40.0,0.04000000000000001,8.0,1600.0,53.0,2809.0
23.0,1.0,0.2,15.0,0.04000000000000001,3.0,225.0,53.0,2809.0
25.0,100.0,2.42,57.0,5.8564,137.94,3249.0,231.0,53361.0
27.0,100.0,1.0,40.0,1.0,40.0,1600.0,53.0,2809.0
31.0,100.0,2.0,70.0,4.0,140.0,4900.0,376.0,141376.0
31.0,100.0,21.0,90.0,441.0,1890.0,8100.0,43.0,1849.0
35.0,1.0,0.14,10.0,0.019600000000000003,1.4000000000000001,100.0,442.0,195364.0
59.0,10.0,12.0,20.0,144.0,240.0,400.0,10.0,100.0
67.0,10.0,2.6,60.0,6.760000000000001,156.0,3600.0,50.0,2500.0
68.0,100.0,0.4,40.0,0.16000000000000003,16.0,1600.0,3.1,9.610000000000001
110.0,10.0,1.2,54.0,1.44,64.8,2916.0,78.0,6084.0
161.0,10.0,2.0,43.0,4.0,86.0,1849.0,891.0,793881.0
338.0,100.0,286.0,274.0,81796.0,78364.0,75076.0,253.0,64009.0
350.0,10.0,1.9,60.0,3.61,114.0,3600.0,360.0,129600.0
489.0,100.0,200.0,200.0,40000.0,40000.0,40000.0,100.0,10000.0
644.0,10.0,0.77,4.5,0.5929,3.465,20.25,47.0,2209.0
1157.0,10.0,2.0,45.0,4.0,90.0,2025.0,56.0,3136.0
5475.0,100.0,4.5,50.0,20.25,225.0,2500.0,85.0,7225.0
