寿命,主要物质组成,坝体体积,坝体高度,坝体长度,0.0,0.0,0.0,0.0,0.0,0.0,集水区面积,0.0
0.01,100.0,0.18,10.0,80.0,0.0324,1.7999999999999998,14.399999999999999,100.0,800.0,6400.0,60.0,3600.0
0.02,10.0,0.094,15.0,130.0,0.008836,1.41,12.22,225.0,1950.0,16900.0,101.0,10201.0
0.04,10.0,0.41,18.0,100.0,0.16809999999999997,7.38,41.0,324.0,1800.0,10000.0,276.0,76176.0
0.08,10.0,0.073,7.0,100.0,0.0053289999999999995,0.511,7.3,49.0,700.0,10000.0,780.0,608400.0
0.2,10.0,0.23,10.0,130.0,0.0529,2.3000000000000003,29.900000000000002,100.0,1300.0,16900.0,282.0,79524.0
0.2,10.0,0.45,25.0,160.0,0.2025,11.25,72.0,625.0,4000.0,25600.0,51.0,2601.0
0.289,10.0,2.5,80.0,100.0,6.25,200.0,250.0,6400.0,8000.0,10000.0,184.0,33856.0
0.35,100.0,0.02,15.0,20.0,0.0004,0.3,0.4,225.0,300.0,400.0,652.0,425104.0
0.4,1.0,0.6,20.0,200.0,0.36,12.0,120.0,400.0,4000.0,40000.0,61.0,3721.0
0.4,10.0,0.63,20.0,120.0,0.39690000000000003,12.6,75.6,400.0,2400.0,14400.0,75.0,5625.0
0.7,10.0,0.85,50.0,180.0,0.7224999999999999,42.5,153.0,2500.0,9000.0,32400.0,657.0,431649.0
0.7,10.0,3.1,110.0,200.0,9.610000000000001,341.0,620.0,12100.0,22000.0,40000.0,530.0,280900.0
1.0,10.0,1.1,60.0,250.0,1.2100000000000002,66.0,275.0,3600.0,15000.0,62500.0,15.0,225.0
1.0,1.0,0.3,20.0,175.0,0.09,6.0,52.5,400.0,3500.0,30625.0,17.3,299.29
1.0,1.0,7.0,25.0,200.0,49.0,175.0,1400.0,625.0,5000.0,40000.0,90.8,8244.64
1.0,100.0,0.05,12.0,80.0,0.0025000000000000005,0.6000000000000001,4.0,144.0,960.0,6400.0,2.8,7.839999999999999
3.0,1.0,1.0,15.0,280.0,1.0,15.0,280.0,225.0,4200.0,78400.0,81.6,6658.5599999999995
3.5,10.0,3.3,80.0,250.0,10.889999999999999,264.0,825.0,6400.0,20000.0,62500.0,480.0,230400.0
5.0,10.0,10.0,190.0,600.0,100.0,1900.0,6000.0,36100.0,114000.0,360000.0,36.0,1296.0
5.0,10.0,0.55,32.0,120.0,0.30250000000000005,17.6,66.0,1024.0,3840.0,14400.0,507.0,257049.0
6.0,1.0,3.4,140.0,400.0,11.559999999999999,476.0,1360.0,19600.0,56000.0,160000.0,28.0,784.0
10.0,100.0,18.0,50.0,400.0,324.0,900.0,7200.0,2500.0,20000.0,160000.0,1223.0,1495729.0
10.0,10.0,2.6,100.0,400.0,6.760000000000001,260.0,1040.0,10000.0,40000.0,160000.0,0.6,0.36
10.0,100.0,12.0,20.0,500.0,144.0,240.0,6000.0,400.0,10000.0,250000.0,1236.0,1527696.0
14.0,1.0,24.0,110.0,350.0,576.0,2640.0,8400.0,12100.0,38500.0,122500.0,68.0,4624.0
17.0,10.0,13.0,80.0,300.0,169.0,1040.0,3900.0,6400.0,24000.0,90000.0,154.0,23716.0
19.0,10.0,2.0,65.0,1000.0,4.0,130.0,2000.0,4225.0,65000.0,1000000.0,2630.0,6916900.0
20.0,100.0,20.25,100.0,900.0,410.0625,2025.0,18225.0,10000.0,90000.0,810000.0,554.0,306916.0
22.0,10.0,4.2,80.0,300.0,17.64,336.0,1260.0,6400.0,24000.0,90000.0,7.3,53.29
23.0,1.0,0.2,15.0,100.0,0.04000000000000001,3.0,20.0,225.0,1500.0,10000.0,53.0,2809.0
23.0,100.0,0.14,30.0,100.0,0.019600000000000003,4.2,14.000000000000002,900.0,3000.0,10000.0,53.0,2809.0
23.0,100.0,2.0,60.0,390.0,4.0,120.0,780.0,3600.0,23400.0,152100.0,243.0,59049.0
25.0,100.0,2.42,57.0,200.0,5.8564,137.94,484.0,3249.0,11400.0,40000.0,231.0,53361.0
27.0,100.0,1.0,40.0,160.0,1.0,40.0,160.0,1600.0,6400.0,25600.0,53.0,2809.0
29.0,100.0,20.37,82.0,611.8,414.93690000000004,1670.3400000000001,12462.366,6724.0,50167.6,374299.23999999993,3550.0,12602500.0
31.0,100.0,2.0,70.0,120.0,4.0,140.0,240.0,4900.0,8400.0,14400.0,376.0,141376.0
35.0,1.0,0.14,10.0,100.0,0.019600000000000003,1.4000000000000001,14.000000000000002,100.0,1000.0,10000.0,442.0,195364.0
59.0,10.0,12.0,20.0,620.0,144.0,240.0,7440.0,400.0,12400.0,384400.0,10.0,100.0
63.0,10.0,0.3,9.0,65.6,0.09,2.6999999999999997,19.679999999999996,81.0,590.4,4303.36,79.0,6241.0
67.0,10.0,2.6,60.0,300.0,6.760000000000001,156.0,780.0,3600.0,18000.0,90000.0,50.0,2500.0
110.0,10.0,1.2,54.0,250.0,1.44,64.8,300.0,2916.0,13500.0,62500.0,78.0,6084.0
161.0,10.0,2.0,43.0,300.0,4.0,86.0,600.0,1849.0,12900.0,90000.0,891.0,793881.0
332.0,1.0,4.0,70.0,170.0,16.0,280.0,680.0,4900.0,11900.0,28900.0,21.0,441.0
338.0,100.0,286.0,274.0,760.0,81796.0,78364.0,217360.0,75076.0,208240.0,577600.0,253.0,64009.0
489.0,100.0,200.0,200.0,1000.0,40000.0,40000.0,200000.0,40000.0,200000.0,1000000.0,100.0,10000.0
644.0,10.0,0.77,4.5,975.0,0.5929,3.465,750.75,20.25,4387.5,950625.0,47.0,2209.0
900.0,100.0,0.43,40.0,117.0,0.18489999999999998,17.2,50.31,1600.0,4680.0,13689.0,576.0,331776.0
1157.0,10.0,2.0,45.0,250.0,4.0,90.0,500.0,2025.0,11250.0,62500.0,56.0,3136.0
