寿命,主要物质组成,坝体体积,坝体长度,0.0,0.0,0.0,集水区面积,0.0
0.01,10.0,0.07,100.0,0.004900000000000001,7.000000000000001,10000.0,11.0,121.0
0.1,10.0,0.15,150.0,0.0225,22.5,22500.0,642.0,412164.0
0.4,10.0,0.63,120.0,0.39690000000000003,75.6,14400.0,75.0,5625.0
1.0,10.0,0.1,200.0,0.010000000000000002,20.0,40000.0,83.0,6889.0
1.5,10.0,1.1,350.0,1.2100000000000002,385.00000000000006,122500.0,7.0,49.0
6.0,100.0,0.96,110.0,0.9216,105.6,12100.0,38.0,1444.0
13.9,10.0,0.4,600.0,0.16000000000000003,240.0,360000.0,79.0,6241.0
22.0,10.0,4.2,300.0,17.64,1260.0,90000.0,7.3,53.29
23.0,100.0,0.2,90.0,0.04000000000000001,18.0,8100.0,53.0,2809.0
31.0,100.0,21.0,400.0,441.0,8400.0,160000.0,43.0,1849.0
68.0,100.0,0.4,100.0,0.16000000000000003,40.0,10000.0,3.1,9.610000000000001
350.0,10.0,1.9,250.0,3.61,475.0,62500.0,360.0,129600.0
