寿命,主要物质组成,坝体体积,坝体长度,0.0,0.0,0.0,集水区面积,0.0
0.01,100.0,0.18,80.0,0.0324,14.399999999999999,6400.0,60.0,3600.0
0.02,10.0,0.094,130.0,0.008836,12.22,16900.0,101.0,10201.0
0.04,10.0,0.41,100.0,0.16809999999999997,41.0,10000.0,276.0,76176.0
0.08,10.0,0.073,100.0,0.0053289999999999995,7.3,10000.0,780.0,608400.0
0.2,10.0,0.23,130.0,0.0529,29.900000000000002,16900.0,282.0,79524.0
0.2,10.0,0.45,160.0,0.2025,72.0,25600.0,51.0,2601.0
0.289,10.0,2.5,100.0,6.25,250.0,10000.0,184.0,33856.0
0.35,100.0,0.02,20.0,0.0004,0.4,400.0,652.0,425104.0
0.4,1.0,0.6,200.0,0.36,120.0,40000.0,61.0,3721.0
0.4,10.0,0.63,200.0,0.39690000000000003,126.0,40000.0,72.0,5184.0
0.7,10.0,0.85,180.0,0.7224999999999999,153.0,32400.0,657.0,431649.0
0.7,10.0,3.1,200.0,9.610000000000001,620.0,40000.0,530.0,280900.0
1.0,100.0,0.05,80.0,0.0025000000000000005,4.0,6400.0,2.8,7.839999999999999
1.0,1.0,0.3,175.0,0.09,52.5,30625.0,17.3,299.29
1.0,1.0,7.0,200.0,49.0,1400.0,40000.0,90.8,8244.64
1.0,10.0,1.1,250.0,1.2100000000000002,275.0,62500.0,15.0,225.0
3.0,1.0,1.0,280.0,1.0,280.0,78400.0,81.6,6658.5599999999995
3.5,10.0,3.3,250.0,10.889999999999999,825.0,62500.0,480.0,230400.0
5.0,10.0,10.0,600.0,100.0,6000.0,360000.0,36.0,1296.0
5.0,10.0,0.55,120.0,0.30250000000000005,66.0,14400.0,507.0,257049.0
6.0,1.0,3.4,400.0,11.559999999999999,1360.0,160000.0,28.0,784.0
10.0,100.0,12.0,500.0,144.0,6000.0,250000.0,1236.0,1527696.0
10.0,10.0,2.6,400.0,6.760000000000001,1040.0,160000.0,0.6,0.36
10.0,100.0,18.0,400.0,324.0,7200.0,160000.0,1223.0,1495729.0
14.0,1.0,24.0,350.0,576.0,8400.0,122500.0,68.0,4624.0
17.0,10.0,13.0,300.0,169.0,3900.0,90000.0,154.0,23716.0
19.0,10.0,2.0,1000.0,4.0,2000.0,1000000.0,2630.0,6916900.0
20.0,100.0,20.25,900.0,410.0625,18225.0,810000.0,554.0,306916.0
22.0,10.0,2.6,200.0,6.760000000000001,520.0,40000.0,3.2,10.240000000000002
23.0,1.0,0.2,100.0,0.04000000000000001,20.0,10000.0,53.0,2809.0
23.0,100.0,0.14,100.0,0.019600000000000003,14.000000000000002,10000.0,53.0,2809.0
23.0,100.0,2.0,390.0,4.0,780.0,152100.0,243.0,59049.0
25.0,100.0,2.42,200.0,5.8564,484.0,40000.0,231.0,53361.0
27.0,100.0,1.0,160.0,1.0,160.0,25600.0,53.0,2809.0
29.0,100.0,20.37,611.8,414.93690000000004,12462.366,374299.23999999993,3550.0,12602500.0
31.0,100.0,2.0,120.0,4.0,240.0,14400.0,376.0,141376.0
35.0,1.0,0.14,100.0,0.019600000000000003,14.000000000000002,10000.0,442.0,195364.0
59.0,10.0,12.0,620.0,144.0,7440.0,384400.0,10.0,100.0
63.0,10.0,0.3,65.6,0.09,19.679999999999996,4303.36,79.0,6241.0
67.0,10.0,2.6,300.0,6.760000000000001,780.0,90000.0,50.0,2500.0
110.0,10.0,1.2,250.0,1.44,300.0,62500.0,78.0,6084.0
161.0,10.0,2.0,300.0,4.0,600.0,90000.0,891.0,793881.0
332.0,1.0,4.0,170.0,16.0,680.0,28900.0,21.0,441.0
338.0,100.0,286.0,760.0,81796.0,217360.0,577600.0,253.0,64009.0
489.0,100.0,200.0,1000.0,40000.0,200000.0,1000000.0,100.0,10000.0
644.0,10.0,0.77,975.0,0.5929,750.75,950625.0,47.0,2209.0
900.0,100.0,0.43,117.0,0.18489999999999998,50.31,13689.0,576.0,331776.0
1157.0,10.0,2.0,250.0,4.0,500.0,62500.0,56.0,3136.0
