寿命,触发因素,坝体高度,坝体长度,坝体宽度,0,0,0,0,0,0,年平均流量,0
0.02,10,15,130,130,225,1950,1950,16900,16900,16900,11,121
0.04,10,44,370,1500,1936,16280,66000,136900,555000,2250000,30.13,907.8169
0.04,10,18,100,450,324,1800,8100,10000,45000,202500,30,900
0.08,10,8,300,300,64,2400,2400,90000,90000,90000,160,25600
0.08,10,7,100,250,49,700,1750,10000,25000,62500,83,6889
0.1,10,10,150,150,100,1500,1500,22500,22500,22500,69,4761
0.2,10,57,120,370,3249,6840,21090,14400,44400,136900,1581,2499561
0.2,10,25,160,300,625,4000,7500,25600,48000,90000,6,36
0.289,10,80,100,350,6400,8000,28000,10000,35000,122500,20,400
0.4,10,20,120,120,400,2400,2400,14400,14400,14400,8,64
0.4,10,25,200,250,625,5000,6250,40000,50000,62500,8,64
0.4,10,20,200,250,400,4000,5000,40000,50000,62500,7,49
0.7,10,110,200,690,12100,22000,75900,40000,138000,476100,56,3136
1,10,20,200,120,400,4000,2400,40000,24000,14400,9,81
1,10,60,250,250,3600,15000,15000,62500,62500,62500,2,4
1.5,10,75,350,125,5625,26250,9375,122500,43750,15625,1,1
2.6,1,61,575,2000,3721,35075,122000,330625,1150000,4000000,1860,3459600
3,10,80,250,330,6400,20000,26400,62500,82500,108900,388,150544
3,1,80,850,2400,6400,68000,192000,722500,2040000,5760000,3867,14953689
3,1,77,652,3500,5929,50204,269500,425104,2282000,12250000,3867,14953689
5,10,190,600,500,36100,114000,95000,360000,300000,250000,4,16
6,10,38,110,350,1444,4180,13300,12100,38500,122500,3,9
6,10,140,400,180,19600,56000,25200,160000,72000,32400,3,9
9,10,175,200,3000,30625,35000,525000,40000,600000,9000000,290,84100
10,100,20,500,750,400,10000,15000,250000,375000,562500,572,327184
10,1,97,580,270,9409,56260,26190,336400,156600,72900,1860,3459600
10,10,100,400,150,10000,40000,15000,160000,60000,22500,1,1
13,100,37,105,100,1369,3885,3700,11025,10500,10000,9,81
17,10,80,300,700,6400,24000,56000,90000,210000,490000,16,256
19,100,65,1000,650,4225,65000,42250,1000000,650000,422500,100,10000
20,100,100,900,600,10000,90000,60000,810000,540000,360000,40,1600
22,10,70,200,450,4900,14000,31500,40000,90000,202500,1,1
23,100,60,390,450,3600,23400,27000,152100,175500,202500,0.8,0.64
23,100,40,90,80,1600,3600,3200,8100,7200,6400,1.3,1.69
25,100,57,200,200,3249,11400,11400,40000,40000,40000,6,36
27,100,40,160,300,1600,6400,12000,25600,48000,90000,8.4,70.56
29,100,82,611.8,802,6724,50167.6,65764,374299.24,490663.6,643204,92.3,8519.29
30,10,70,75,600,4900,5250,42000,5625,45000,360000,20,400
31,100,70,120,300,4900,8400,21000,14400,36000,90000,15,225
33,1,100,300,1100,10000,30000,110000,90000,330000,1210000,71,5041
42,10,160,1000,3800,25600,160000,608000,1000000,3800000,14440000,150,22500
45,100,60,750,2350,3600,45000,141000,562500,1762500,5522500,72.7,5285.29
59,100,20,620,700,400,12400,14000,384400,434000,490000,1,1
67,10,60,300,500,3600,18000,30000,90000,150000,250000,3,9
73,1,133,250,580,17689,33250,77140,62500,145000,336400,51,2601
110,100,54,250,300,2916,13500,16200,62500,75000,90000,3,9
315,10,9,421,239,81,3789,2151,177241,100619,57121,1187,1408969
315,10,15,500,100,225,7500,1500,250000,50000,10000,58.8,3457.44
579,10,50,250,500,2500,12500,25000,62500,125000,250000,5,25
15046,100,70,700,400,4900,49000,28000,490000,280000,160000,10,100
0.01,10,10,80,150,100,800,1500,6400,12000,22500,4,16
0.08,10,8,300,200,64,2400,1600,90000,60000,40000,160,25600
0.2,10,10,130,380,100,1300,3800,16900,49400,144400,30,900
0.7,10,50,180,300,2500,9000,15000,32400,54000,90000,70,4900
1.8,1,18,274,880,324,4932,15840,75076,241120,774400,428,183184
3.5,10,80,250,330,6400,20000,26400,62500,82500,108900,70,4900
10,100,50,400,500,2500,20000,25000,160000,200000,250000,152,23104
13.9,100,150,600,200,22500,90000,30000,360000,120000,40000,2,4
22,10,80,300,350,6400,24000,28000,90000,105000,122500,1,1
27.87,100,25,120,140,625,3000,3500,14400,16800,19600,13.9,193.21
37,10,20,200,300,400,4000,6000,40000,60000,90000,7,49
68,10,40,100,200,1600,4000,8000,10000,20000,40000,1,1
350,10,60,250,500,3600,15000,30000,62500,125000,250000,30,900
