寿命,触发因素,主要物质组成,坝体体积,坝体高度,坝体长度,0.0,0.0,0.0,0.0,0.0,0.0,年平均流量,0.0
0.01,10.0,100.0,0.18,10.0,80.0,0.0324,1.7999999999999998,14.399999999999999,100.0,800.0,6400.0,4.0,16.0
0.08,10.0,100.0,0.72,8.0,300.0,0.5184,5.76,216.0,64.0,2400.0,90000.0,160.0,25600.0
0.2,10.0,10.0,0.23,10.0,130.0,0.0529,2.3000000000000003,29.900000000000002,100.0,1300.0,16900.0,30.0,900.0
0.7,10.0,10.0,3.1,110.0,200.0,9.610000000000001,341.0,620.0,12100.0,22000.0,40000.0,56.0,3136.0
1.8,1.0,100.0,6.028,18.0,274.0,36.336783999999994,108.50399999999999,1651.6719999999998,324.0,4932.0,75076.0,428.0,183184.0
3.5,10.0,10.0,3.3,80.0,250.0,10.889999999999999,264.0,825.0,6400.0,20000.0,62500.0,70.0,4900.0
10.0,100.0,100.0,18.0,50.0,400.0,324.0,900.0,7200.0,2500.0,20000.0,160000.0,152.0,23104.0
13.9,100.0,10.0,0.4,150.0,600.0,0.16000000000000003,60.0,240.0,22500.0,90000.0,360000.0,2.0,4.0
22.0,10.0,10.0,2.6,70.0,200.0,6.760000000000001,182.0,520.0,4900.0,14000.0,40000.0,1.0,1.0
27.0,100.0,100.0,1.0,40.0,160.0,1.0,40.0,160.0,1600.0,6400.0,25600.0,8.4,70.56
33.0,1.0,100.0,20.0,100.0,300.0,400.0,2000.0,6000.0,10000.0,30000.0,90000.0,71.0,5041.0
68.0,10.0,100.0,0.4,40.0,100.0,0.16000000000000003,16.0,40.0,1600.0,4000.0,10000.0,1.0,1.0
350.0,10.0,10.0,1.9,60.0,250.0,3.61,114.0,475.0,3600.0,15000.0,62500.0,30.0,900.0
