寿命,触发因素,主要物质组成,坝体体积,坝体长度,0.0,0.0,0.0,年平均流量,0.0
0.01,10.0,100.0,0.18,80.0,0.0324,14.399999999999999,6400.0,4.0,16.0
0.08,10.0,100.0,0.72,300.0,0.5184,216.0,90000.0,160.0,25600.0
0.2,10.0,10.0,0.23,130.0,0.0529,29.900000000000002,16900.0,30.0,900.0
0.7,10.0,10.0,3.1,200.0,9.610000000000001,620.0,40000.0,56.0,3136.0
1.8,1.0,100.0,6.028,274.0,36.336783999999994,1651.6719999999998,75076.0,428.0,183184.0
3.5,10.0,10.0,3.3,250.0,10.889999999999999,825.0,62500.0,70.0,4900.0
10.0,100.0,100.0,12.0,500.0,144.0,6000.0,250000.0,572.0,327184.0
13.9,100.0,10.0,0.4,600.0,0.16000000000000003,240.0,360000.0,2.0,4.0
22.0,10.0,10.0,4.2,300.0,17.64,1260.0,90000.0,1.0,1.0
27.0,100.0,100.0,1.0,160.0,1.0,160.0,25600.0,8.4,70.56
33.0,1.0,100.0,20.0,300.0,400.0,6000.0,90000.0,71.0,5041.0
68.0,10.0,100.0,0.4,100.0,0.16000000000000003,40.0,10000.0,1.0,1.0
350.0,10.0,10.0,1.9,250.0,3.61,475.0,62500.0,30.0,900.0
