寿命,触发因素,坝体体积,坝体长度,0.0,0.0,0.0,年平均流量,0.0
0.02,10.0,0.094,130.0,0.008836,12.22,16900.0,11.0,121.0
0.04,10.0,15.4,370.0,237.16000000000003,5698.0,136900.0,30.13,907.8168999999999
0.04,10.0,0.41,100.0,0.16809999999999997,41.0,10000.0,30.0,900.0
0.08,10.0,0.48,300.0,0.2304,144.0,90000.0,160.0,25600.0
0.08,10.0,0.073,100.0,0.0053289999999999995,7.3,10000.0,83.0,6889.0
0.1,10.0,0.15,150.0,0.0225,22.5,22500.0,69.0,4761.0
0.2,10.0,0.45,160.0,0.2025,72.0,25600.0,6.0,36.0
0.2,10.0,2.0,120.0,4.0,240.0,14400.0,1581.0,2499561.0
0.289,10.0,2.5,100.0,6.25,250.0,10000.0,20.0,400.0
0.4,10.0,0.63,120.0,0.39690000000000003,75.6,14400.0,8.0,64.0
0.4,10.0,0.6,200.0,0.36,120.0,40000.0,7.0,49.0
0.4,10.0,0.63,200.0,0.39690000000000003,126.0,40000.0,8.0,64.0
0.7,10.0,0.85,180.0,0.7224999999999999,153.0,32400.0,70.0,4900.0
1.0,10.0,1.1,250.0,1.2100000000000002,275.0,62500.0,2.0,4.0
1.0,10.0,0.1,200.0,0.010000000000000002,20.0,40000.0,9.0,81.0
1.5,10.0,1.1,350.0,1.2100000000000002,385.00000000000006,122500.0,1.0,1.0
2.6,1.0,25.0,575.0,625.0,14375.0,330625.0,1860.0,3459600.0
3.0,10.0,3.3,250.0,10.889999999999999,825.0,62500.0,388.0,150544.0
3.0,1.0,50.0,850.0,2500.0,42500.0,722500.0,3867.0,14953689.0
3.0,1.0,30.0,652.0,900.0,19560.0,425104.0,3867.0,14953689.0
5.0,10.0,10.0,600.0,100.0,6000.0,360000.0,4.0,16.0
6.0,10.0,3.4,400.0,11.559999999999999,1360.0,160000.0,3.0,9.0
6.0,10.0,0.96,110.0,0.9216,105.6,12100.0,3.0,9.0
9.0,10.0,68.0,200.0,4624.0,13600.0,40000.0,290.0,84100.0
10.0,100.0,12.0,500.0,144.0,6000.0,250000.0,572.0,327184.0
10.0,1.0,30.2,580.0,912.04,17516.0,336400.0,1860.0,3459600.0
10.0,100.0,18.0,400.0,324.0,7200.0,160000.0,152.0,23104.0
13.0,100.0,0.26,105.0,0.06760000000000001,27.3,11025.0,9.0,81.0
17.0,10.0,13.0,300.0,169.0,3900.0,90000.0,16.0,256.0
19.0,100.0,2.0,1000.0,4.0,2000.0,1000000.0,100.0,10000.0
20.0,100.0,20.25,900.0,410.0625,18225.0,810000.0,40.0,1600.0
22.0,10.0,2.6,200.0,6.760000000000001,520.0,40000.0,1.0,1.0
23.0,100.0,0.2,90.0,0.04000000000000001,18.0,8100.0,1.3,1.6900000000000002
23.0,100.0,0.2,100.0,0.04000000000000001,20.0,10000.0,8.4,70.56
23.0,100.0,2.0,390.0,4.0,780.0,152100.0,0.8,0.6400000000000001
25.0,100.0,2.42,200.0,5.8564,484.0,40000.0,6.0,36.0
27.87,100.0,0.15,120.0,0.0225,18.0,14400.0,13.9,193.21
29.0,100.0,20.37,611.8,414.93690000000004,12462.366,374299.23999999993,92.3,8519.289999999999
30.0,10.0,3.0,75.0,9.0,225.0,5625.0,20.0,400.0
31.0,100.0,2.0,120.0,4.0,240.0,14400.0,15.0,225.0
37.0,10.0,0.6,200.0,0.36,120.0,40000.0,7.0,49.0
45.0,100.0,200.0,750.0,40000.0,150000.0,562500.0,72.7,5285.29
59.0,100.0,12.0,620.0,144.0,7440.0,384400.0,1.0,1.0
67.0,10.0,2.6,300.0,6.760000000000001,780.0,90000.0,3.0,9.0
73.0,1.0,3.5,250.0,12.25,875.0,62500.0,51.0,2601.0
110.0,100.0,1.2,250.0,1.44,300.0,62500.0,3.0,9.0
315.0,10.0,0.91,421.0,0.8281000000000001,383.11,177241.0,1187.0,1408969.0
315.0,10.0,0.75,500.0,0.5625,375.0,250000.0,58.8,3457.4399999999996
579.0,10.0,2.0,250.0,4.0,500.0,62500.0,5.0,25.0
15046.0,100.0,3.8,700.0,14.44,2660.0,490000.0,10.0,100.0
