寿命,坝体体积,坝体高度,0.0,0.0,0.0,年平均流量,0.0
0.01,0.18,10.0,0.0324,1.7999999999999998,100.0,4.0,16.0
0.08,0.72,8.0,0.5184,5.76,64.0,160.0,25600.0
0.2,0.23,10.0,0.0529,2.3000000000000003,100.0,30.0,900.0
0.7,0.85,50.0,0.7224999999999999,42.5,2500.0,70.0,4900.0
1.8,6.028,18.0,36.336783999999994,108.50399999999999,324.0,428.0,183184.0
3.0,3.3,80.0,10.889999999999999,264.0,6400.0,388.0,150544.0
9.0,5.0,90.0,25.0,450.0,8100.0,46.7,2180.8900000000003
10.0,12.0,20.0,144.0,240.0,400.0,572.0,327184.0
20.0,20.25,100.0,410.0625,2025.0,10000.0,40.0,1600.0
23.0,2.0,60.0,4.0,120.0,3600.0,0.8,0.6400000000000001
30.0,3.0,70.0,9.0,210.0,4900.0,20.0,400.0
45.0,45.5,100.0,2070.25,4550.0,10000.0,72.7,5285.29
73.0,3.5,133.0,12.25,465.5,17689.0,51.0,2601.0
350.0,1.9,60.0,3.61,114.0,3600.0,30.0,900.0
