寿命,坝体体积,坝体高度,0,0,0,年平均流量,0
0.02,0.094,15,0.008836,1.41,225,11,121
0.04,15.4,44,237.16,677.6,1936,30.13,907.8169
0.04,0.41,18,0.1681,7.38,324,30,900
0.08,0.073,7,0.005329,0.511,49,83,6889
0.08,0.48,8,0.2304,3.84,64,160,25600
0.1,0.15,10,0.0225,1.5,100,69,4761
0.2,0.45,25,0.2025,11.25,625,6,36
0.2,2,57,4,114,3249,1581,2499561
0.289,2.5,80,6.25,200,6400,20,400
0.4,0.6,20,0.36,12,400,7,49
0.4,0.63,20,0.3969,12.6,400,8,64
0.4,0.63,25,0.3969,15.75,625,8,64
0.7,3.1,110,9.61,341,12100,56,3136
1,0.1,20,0.01,2,400,9,81
1,1.1,60,1.21,66,3600,2,4
1.5,1.1,75,1.21,82.5,5625,1,1
2.6,25,61,625,1525,3721,1860,3459600
3,30,77,900,2310,5929,3867,14953689
3,1.4,9,1.96,12.6,81,124,15376
3,50,80,2500,4000,6400,3867,14953689
3.5,3.3,80,10.89,264,6400,70,4900
5,10,190,100,1900,36100,4,16
6,0.96,38,0.9216,36.48,1444,3,9
6,3.4,140,11.56,476,19600,3,9
9,68,175,4624,11900,30625,290,84100
10,2.6,100,6.76,260,10000,1,1
10,18,50,324,900,2500,152,23104
10,30.2,97,912.04,2929.4,9409,1860,3459600
13,0.26,37,0.0676,9.62,1369,9,81
13.9,0.4,150,0.16,60,22500,2,4
17,13,80,169,1040,6400,16,256
19,2,65,4,130,4225,100,10000
22,2.6,70,6.76,182,4900,1,1
22,4.2,80,17.64,336,6400,1,1
23,0.2,40,0.04,8,1600,1.3,1.69
23,0.2,15,0.04,3,225,8.4,70.56
25,2.42,57,5.8564,137.94,3249,6,36
27,1,40,1,40,1600,8.4,70.56
27.87,0.15,25,0.0225,3.75,625,13.9,193.21
29,20.37,82,414.9369,1670.34,6724,92.3,8519.29
31,2,70,4,140,4900,15,225
33,20,100,400,2000,10000,71,5041
37,0.6,20,0.36,12,400,7,49
45,46.5,160,2162.25,7440,25600,72.7,5285.29
45,200,60,40000,12000,3600,72.7,5285.29
59,12,20,144,240,400,1,1
67,2.6,60,6.76,156,3600,3,9
68,0.4,40,0.16,16,1600,1,1
110,1.2,54,1.44,64.8,2916,3,9
315,0.91,9,0.8281,8.19,81,1187,1408969
315,0.75,15,0.5625,11.25,225,58.8,3457.44
332,4,70,16,280,4900,13.4,179.56
579,2,50,4,100,2500,5,25
1157,2,45,4,90,2025,9,81
15046,3.8,70,14.44,266,4900,10,100
0.01,0.18,10,0.0324,1.8,100,4,16
0.08,0.72,8,0.5184,5.76,64,160,25600
0.2,0.23,10,0.0529,2.3,100,30,900
0.7,0.85,50,0.7225,42.5,2500,70,4900
1.8,6.028,18,36.336784,108.504,324,428,183184
3,3.3,80,10.89,264,6400,388,150544
9,5,90,25,450,8100,46.7,2180.89
10,12,20,144,240,400,572,327184
20,20.25,100,410.0625,2025,10000,40,1600
23,2,60,4,120,3600,0.8,0.64
30,3,70,9,210,4900,20,400
45,45.5,100,2070.25,4550,10000,72.7,5285.29
73,3.5,133,12.25,465.5,17689,51,2601
350,1.9,60,3.61,114,3600,30,900
