寿命,坝体体积,坝体宽度,0.0,0.0,0.0,集水区面积,0.0
0.01,0.18,150.0,0.0324,27.0,22500.0,60.0,3600.0
0.02,0.094,130.0,0.008836,12.22,16900.0,101.0,10201.0
0.04,0.41,450.0,0.16809999999999997,184.5,202500.0,276.0,76176.0
0.08,0.073,250.0,0.0053289999999999995,18.25,62500.0,780.0,608400.0
0.2,0.45,300.0,0.2025,135.0,90000.0,51.0,2601.0
0.2,0.23,380.0,0.0529,87.4,144400.0,282.0,79524.0
0.289,2.5,350.0,6.25,875.0,122500.0,184.0,33856.0
0.35,0.02,130.0,0.0004,2.6,16900.0,652.0,425104.0
0.4,0.63,250.0,0.39690000000000003,157.5,62500.0,72.0,5184.0
0.4,0.6,250.0,0.36,150.0,62500.0,61.0,3721.0
0.7,0.85,300.0,0.7224999999999999,255.0,90000.0,657.0,431649.0
0.7,3.1,690.0,9.610000000000001,2139.0,476100.0,530.0,280900.0
1.0,1.1,250.0,1.2100000000000002,275.0,62500.0,15.0,225.0
1.0,7.0,800.0,49.0,5600.0,640000.0,90.8,8244.64
1.0,0.1,120.0,0.010000000000000002,12.0,14400.0,83.0,6889.0
1.0,0.05,50.0,0.0025000000000000005,2.5,2500.0,2.8,7.839999999999999
3.0,1.0,800.0,1.0,800.0,640000.0,81.6,6658.5599999999995
3.5,3.3,330.0,10.889999999999999,1089.0,108900.0,480.0,230400.0
5.0,0.55,240.0,0.30250000000000005,132.0,57600.0,507.0,257049.0
5.0,10.0,500.0,100.0,5000.0,250000.0,36.0,1296.0
6.0,0.96,350.0,0.9216,336.0,122500.0,38.0,1444.0
8.0,1.5,400.0,2.25,600.0,160000.0,64.3,4134.49
10.0,18.0,500.0,324.0,9000.0,250000.0,1223.0,1495729.0
10.0,2.6,150.0,6.760000000000001,390.0,22500.0,0.6,0.36
13.9,0.4,200.0,0.16000000000000003,80.0,40000.0,79.0,6241.0
14.0,24.0,362.0,576.0,8688.0,131044.0,68.0,4624.0
17.0,13.0,700.0,169.0,9100.0,490000.0,154.0,23716.0
19.0,2.0,650.0,4.0,1300.0,422500.0,2630.0,6916900.0
20.0,30.0,750.0,900.0,22500.0,562500.0,1111.0,1234321.0
22.0,4.2,350.0,17.64,1470.0,122500.0,7.3,53.29
22.0,2.6,450.0,6.760000000000001,1170.0,202500.0,3.2,10.240000000000002
23.0,0.2,80.0,0.04000000000000001,16.0,6400.0,53.0,2809.0
23.0,2.0,450.0,4.0,900.0,202500.0,243.0,59049.0
25.0,2.42,200.0,5.8564,484.0,40000.0,231.0,53361.0
27.0,1.0,300.0,1.0,300.0,90000.0,53.0,2809.0
29.0,20.37,802.0,414.93690000000004,16336.740000000002,643204.0,3550.0,12602500.0
31.0,2.0,300.0,4.0,600.0,90000.0,376.0,141376.0
35.0,0.14,300.0,0.019600000000000003,42.00000000000001,90000.0,442.0,195364.0
59.0,12.0,700.0,144.0,8400.0,490000.0,10.0,100.0
67.0,2.6,500.0,6.760000000000001,1300.0,250000.0,50.0,2500.0
110.0,1.2,300.0,1.44,360.0,90000.0,78.0,6084.0
161.0,2.0,930.0,4.0,1860.0,864900.0,891.0,793881.0
332.0,4.0,550.0,16.0,2200.0,302500.0,21.0,441.0
338.0,286.0,2750.0,81796.0,786500.0,7562500.0,253.0,64009.0
365.0,0.02,92.0,0.0004,1.84,8464.0,14.0,196.0
489.0,200.0,3000.0,40000.0,600000.0,9000000.0,100.0,10000.0
579.0,2.0,500.0,4.0,1000.0,250000.0,40.0,1600.0
644.0,0.77,180.0,0.5929,138.6,32400.0,47.0,2209.0
900.0,0.43,183.0,0.18489999999999998,78.69,33489.0,576.0,331776.0
1157.0,2.0,350.0,4.0,700.0,122500.0,56.0,3136.0
