稳定性,主要物质组成,坝体高度,坝体宽度,集水区面积
0,1,2.1760912,2.30103,1.8976271
0,1,1.90309,2.518514,2.6812413
0,1,1.30103,2.845098,1
0,0,0.53147894,2.518514,1.4313638
0,2,1,2,3.5519376
0,2,1.30103,2.8750613,3.0920184
0,0,1,2.4771214,2.6454222
0,1,1.7781513,2.0791812,2.3541083
0,2,1.7781513,2.6532125,2.3856063
0,0,0.90309,2.69897,2.5526683
0,2,1.69897,2.69897,3.0874264
0,0,2.0791812,2.69897,2.5327544
0,2,1.7781513,2.30103,3.5098743
0,2,2.0253057,2.3802114,1.462398
0,0,1.7781513,2.69897,2.4712918
0,2,1.4771212,1.7781513,1.7242758
0,2,1.60206,1.90309,1.7242758
0,2,1.60206,2.4771214,1.7242758
0,0,1.69897,2.30103,2.206826
0,2,1.8750613,2.90309,3.5497386
0,0,1.69897,2.60206,3.2516382
0,2,1.9138138,2.9041743,3.5502284
0,2,1.4771212,2.60206,2.5774918
0,2,1.845098,2.4771214,2.575188
0,2,1.7558749,2.30103,2.363612
0,0,1,2.39794,2.7874606
0,0,1.9542425,2.69897,2.3820171
0,2,2.4377506,3.4393327,2.4031205
0,2,1.60206,2.2624512,2.7604225
1,1,1.5185139,2.7403626,2.7307823
0,2,1.9542425,2.845098,1.6334685
1,2,1.30103,2.6532125,1.6106602
0,1,1.6334685,2.968483,2.9498777
0,1,1.60206,3,2.2227166
0,2,1,2.1760912,1.7781513
0,1,1.7781513,2.69897,1.69897
0,1,1.39794,2.4771214,1.7075702
1,1,0.6532125,2.7781513,2.0413928
0,1,1.7781513,2.69897,2.5563025
0,0,2.146128,2.2552724,1.447158
0,1,1.7781513,2.39794,1.1760913
0,1,1.8750613,2.09691,0.845098
0,1,1.6532125,2.544068,1.748188
0,1,1.1760913,2.1139433,2.0043213
0,1,1.30103,2.0791812,1.9190781
0,1,1.845098,2.6532125,0.50514996
0,1,1.90309,2.845098,2.1875207
0,2,1.60206,2.30103,0.4913617
0,0,1.30103,2.39794,1.7853298
0,1,1.30103,2.0791812,1.8750613
0,1,1.39794,2.39794,1.8573325
0,1,2,2.1760912,-0.22184876
1,1,1.60206,3.39794,2.0791812
0,1,1.8129133,2.8129134,3.4199557
0,2,1.5797836,2.544068,1.5797836
0,1,2.2787535,2.69897,1.5563025
0,2,2,2.7781513,2.7435098
0,1,1.7323937,2.4771214,1.8920946
0,1,1.2552725,2.6532125,2.4409091
0,1,0.845098,2.39794,2.8920946
0,1,1,2.1760912,2.807535
0,1,1,2.5797837,2.4502492
0,1,1.90309,2.544068,2.2648177
0,1,2.0413928,2.838849,2.7242758
0,1,1.69897,2.4771214,2.8175654
0,1,1.90309,2.544068,0.86332285
0,0,2.0413928,2.5587087,1.8325089
0,0,1.845098,2.7403626,1.3222193
0,2,2.30103,3.4771214,2
0,1,1.50515,2.3802114,2.705008
0,1,1.0293838,2.3521826,1.0413927
1,1,1.39794,3.544068,2.3521826
0,1,0.6532125,2.2552724,1.6720978
0,2,0.7781513,1.60206,1.2552725
0,1,1.7781513,3.20412,3.07225
0,2,1.1760913,2.1139433,2.8142476
1,2,0.845098,2.7403626,2.4693801
0,0,1.30103,2.39794,1.238046
0,1,1,2.4771214,1.9242793
0,2,1,2.531479,1.2552725
1,2,1.4771212,2.845098,1.7839036
0,2,1.30103,2.39794,2.1992066
0,1,1.39794,2.845098,2.4149733
1,2,1.60206,3.0681858,2.1364036
1,0,0.60206,2.531479,1.8898617
0,1,0.60206,2.544068,1.4712917
1,0,0.69897,2,0.44715804
0,1,1.30103,2.361728,1.50515
0,2,1.4771212,2.672098,0.6232493
1,0,1.30103,2.39794,1.8976271
0,0,0.90309,2.50515,1.367356
0,2,1,2.1760912,2.1031191
0,1,1,2.361728,1.7323937
1,2,1.4771212,2.5740314,0.44715804
1,2,1.4771212,2.7403626,-0.22184876
0,2,0.9542425,2.7781513,0.47712126
1,1,1.30103,2.929419,0.43136376
1,1,1.30103,2.929419,1.1643529
0,1,1.7781513,2.6532125,2.4065402
1,1,1.5502284,2.7596679,1.238046
0,1,1.1760913,2.6532125,1.2455127
1,2,1.8750613,2.5682018,0.79934055
1,2,1.4149734,2.6532125,1.7242758
1,2,1.7403626,2.544068,1.1398791
1,1,1.7781513,2.9822712,0.7781513
1,2,1.60206,2.7596679,0.69897
0,0,1.243038,2,2.317018
1,2,1.447158,2.5118833,1.2600714
1,2,1.8750613,2.6532125,1.0827854
1,1,0.7781513,2.30103,0.6812412
0,1,1.39794,2.4771214,1.8859264
0,2,0.69897,2.60206,2.7824726
1,2,1.7558749,2.5118833,1.6434526
1,2,1.1760913,2.544068,1.3424227
1,2,1.1760913,2.30103,1.1702617
1,2,1.60206,3.0791812,2.0934217
1,1,1.90309,3,2.1199155
0,0,1.30103,2.30103,0.32221928
1,1,1.4771212,2.60206,1.5670264
1,2,1.69897,2.7781513,1.9294189
0,1,1.4771212,2.544068,0.69897
1,2,1,2.30103,0.11394335
1,1,1.39794,3,1.8762178
1,1,2,2.7242758,1.6127839
0,1,1.0791812,2.4313638,0.845098
0,0,1,2.4313638,1.0413927
0,1,1.0791812,2.2552724,1.2787536
1,2,1.60206,2.4771214,0.67209786
0,1,1.4771212,2.7923918,2.1804125
1,2,1.1760913,2.4941547,1.3443923
0,2,1.90309,2.942008,2.1682026
0,2,1.1760913,2.69897,1.9190781
1,1,1.60206,2.6532125,0.17609125
0,1,1.69897,2.929419,1.3222193
1,2,1.519828,3.30103,1.9777236
0,0,1.39794,2.90309,1.9580859
0,2,1.39794,2.672098,1.5797836
1,2,1.1760913,2.30103,1.1846914
0,2,1.5440681,2.69897,2.5327544
1,2,1.30103,2.8129134,1.9590414
1,1,1,2.6532125,1.3138672
1,2,1,2.2787535,0.6232493
1,2,1.60206,3.0413928,1.9698817
1,1,1.1760913,2.9542425,1.2355285
1,1,1.20412,3.1383028,2.3944516
1,2,1.6532125,3,1.2900347
1,1,1.69897,3.2552724,1.6106602
1,2,1.30103,2.9542425,1.462398
1,1,1.845098,3.0606978,2.2787535
1,2,1.4771212,3.50515,1.8639174
1,1,1.7781513,2.90309,2.0538464
1,2,1.30103,2.6812413,2.765445
1,2,2,3.3802114,2.2725377
1,1,1.69897,2.8129134,1.2855573
1,2,1.6532125,3.230449,1.6063814
1,2,1.4771212,3.0413928,0.9294189
1,2,1.60206,3.30103,1.2355285
1,2,1.4771212,2.69897,2.0802655
0,1,0.69897,2.1760912,0.748188
0,0,1,2.544068,0.60206
1,2,1.30103,2.845098,3.3865168
0,0,1.1760913,3,1.5263393
1,2,1.1760913,2.4913616,0.30103
0,1,0.69897,2.9777236,1.7611759
1,2,1.60206,2.90309,2.067443
1,2,1.7781513,2.6766937,-0.15490197
0,0,1.1760913,2.3222194,1.6232493
0,1,1,2.0606978,1.6232493
0,2,1.39794,2.6532125,2.0289776
1,2,1.30103,2.1760912,1.1205739
1,2,1.90309,2.8293037,0.96378785
1,1,1.30103,2.69897,0.98227125
1,2,1.30103,2.929419,1.2479733
1,1,1.4771212,2.845098,1.6785184
1,2,2,2.7923918,2.195346
1,1,1.5440681,3.146128,1.9818186
0,2,1.69897,2.09691,1.9537597
0,0,1.4771212,2.09691,1.3560258
0,1,1.60206,3,2.2227166
0,2,1,2.1139433,2.3802114
0,2,0.9542425,2.20412,0.6532125
0,1,0.69897,2.6812413,1.4183013
0,1,1.1760913,2.39794,0.9912261
0,1,1.09691,2.4149733,-0.15490197
0,0,1.1760913,2.0791812,1.2455127
0,2,0.69897,2.0791812,1.2855573
0,1,1.6334685,2.968483,2.9498777
0,2,1.0791812,1.69897,0.44715804
0,0,1.1760913,1.8129133,0.748188
0,0,0.69897,1.845098,1.9590414
0,0,1.1760913,2.90309,1.9116901
0,2,1.4771212,2.9542425,0.85125834
0,2,1,2.7781513,2.4978967
0,1,0.90309,2.9542425,2.114611
0,1,1,2.2552724,1.9415114
0,1,1.30103,2.2787535,1.3891661
0,0,1,2.0413928,0.9542425
0,1,0.69897,3.1760912,2.9008584
0,1,1.30103,2.50515,1.367356
0,1,1.4771212,2.4393327,2.0326188
0,1,0.845098,2.90309,2.3479152
0,2,1.1760913,2,0.11394335
0,1,1,2.7781513,1.9867717
1,1,1.60206,2.6532125,1.146128
1,1,1.39794,2.70757,2.7890162
1,1,1.30103,2.69897,2.854306
1,1,1.5440681,2.8750613,1.1903317
1,2,1.4771212,3,2.301681
1,2,1.4771212,3.1139433,1.9754318
1,2,1.4771212,3.0791812,2.3094172
1,2,1.4771212,2.7403626,1.8312297
1,1,1.9542425,3.0791812,1.7803173
1,2,1.60206,3.09691,2.2027607
1,1,1.30103,2.6532125,1.6106602
1,2,1.60206,2.50515,1.4149734
1,1,1.30103,2.9542425,1.1205739
1,2,1.69897,3.2552724,2.1731863
1,1,1.1760913,2.20412,0.9294189
1,2,1.30103,2.612784,2.4908009
1,2,1.6532125,3,2.7477224
1,2,1.1760913,2.30103,1.510545
