稳定性,主要物质组成,坝体高度,坝体宽度,集水区面积
0.0,2.0,1.69897,2.09691,1.9537597
0.0,0.0,1.4771212,2.09691,1.3560258
0.0,1.0,1.60206,3.0,2.2227166
0.0,2.0,1.0,2.1139433,2.3802114
0.0,2.0,0.9542425,2.20412,0.6532125
0.0,1.0,0.69897,2.6812413,1.4183013
0.0,1.0,1.1760913,2.39794,0.9912261
0.0,1.0,1.09691,2.4149733,-0.15490197
0.0,0.0,1.1760913,2.0791812,1.2455127
0.0,2.0,0.69897,2.0791812,1.2855573
0.0,1.0,1.6334685,2.968483,2.9498777
0.0,2.0,1.0791812,1.69897,0.44715804
0.0,0.0,1.1760913,1.8129133,0.748188
0.0,0.0,0.69897,1.845098,1.9590414
0.0,0.0,1.1760913,2.90309,1.9116901
0.0,2.0,1.4771212,2.9542425,0.85125834
0.0,2.0,1.0,2.7781513,2.4978967
0.0,1.0,0.90309,2.9542425,2.114611
0.0,1.0,1.0,2.2552724,1.9415114
0.0,1.0,1.30103,2.2787535,1.3891661
0.0,0.0,1.0,2.0413928,0.9542425
0.0,1.0,0.69897,3.1760912,2.9008584
0.0,1.0,1.30103,2.50515,1.367356
0.0,1.0,1.4771212,2.4393327,2.0326188
0.0,1.0,0.845098,2.90309,2.3479152
0.0,2.0,1.1760913,2.0,0.11394335
0.0,1.0,1.0,2.7781513,1.9867717
1.0,1.0,1.60206,2.6532125,1.146128
1.0,1.0,1.39794,2.70757,2.7890162
1.0,1.0,1.30103,2.69897,2.854306
1.0,1.0,1.5440681,2.8750613,1.1903317
1.0,2.0,1.4771212,3.0,2.301681
1.0,2.0,1.4771212,3.1139433,1.9754318
1.0,2.0,1.4771212,3.0791812,2.3094172
1.0,2.0,1.4771212,2.7403626,1.8312297
1.0,1.0,1.9542425,3.0791812,1.7803173
1.0,2.0,1.60206,3.09691,2.2027607
1.0,1.0,1.30103,2.6532125,1.6106602
1.0,2.0,1.60206,2.50515,1.4149734
1.0,1.0,1.30103,2.9542425,1.1205739
1.0,2.0,1.69897,3.2552724,2.1731863
1.0,1.0,1.1760913,2.20412,0.9294189
1.0,2.0,1.30103,2.612784,2.4908009
1.0,2.0,1.6532125,3.0,2.7477224
1.0,2.0,1.1760913,2.30103,1.510545
