稳定性,主要物质组成,坝体体积,集水区面积
0.0,1.0,-0.39794,1.8976271
0.0,1.0,0.5185139,2.6812413
0.0,1.0,1.0791812,1.0
0.0,0.0,-1.39794,1.4313638
0.0,2.0,-0.39794,3.5519376
0.0,2.0,1.0791812,3.0920184
0.0,0.0,-0.85387194,2.6454222
0.0,1.0,0.07918125,2.3541083
0.0,2.0,0.30103,2.3856063
0.0,0.0,-0.17392519,2.5526683
0.0,2.0,1.2552725,3.0874264
0.0,0.0,0.38021123,2.5327544
0.0,2.0,0.21748394,3.5098743
0.0,2.0,0.67209786,1.462398
0.0,0.0,0.17609125,2.4712918
0.0,1.0,0.763428,1.8756399
0.0,2.0,-0.85387194,1.7242758
0.0,2.0,-0.69897,1.7242758
0.0,2.0,0.0,1.7242758
0.0,0.0,-0.69897,1.7242758
0.0,0.0,0.7259116,2.206826
0.0,2.0,1.1760913,3.5497386
0.0,0.0,0.20411998,3.2516382
0.0,2.0,1.3089911,3.5502284
0.0,2.0,-0.34678748,2.5774918
0.0,2.0,0.30103,2.575188
0.0,2.0,0.38381538,2.363612
0.0,0.0,-0.92081875,2.7874606
0.0,0.0,0.47712126,2.3820171
0.0,2.0,2.456366,2.4031205
0.0,2.0,-0.36653155,2.7604225
1.0,1.0,1.60206,2.7307823
0.0,2.0,1.3222193,1.6334685
0.0,1.0,0.0,2.7176704
1.0,2.0,0.17609125,1.6106602
0.0,2.0,0.6532125,1.9294189
0.0,1.0,0.39794,2.9498777
0.0,1.0,1.0,2.2227166
0.0,2.0,-0.7447275,1.7781513
0.0,1.0,0.41497335,1.69897
0.0,1.0,-0.34678748,1.7075702
1.0,1.0,-0.04575749,2.0413928
0.0,1.0,0.2787536,2.5563025
0.0,0.0,0.53147894,1.447158
0.0,1.0,0.041392684,1.1760913
0.0,1.0,0.041392684,0.845098
0.0,1.0,0.30103,1.748188
0.0,1.0,-1.0268722,2.0043213
0.0,1.0,-1.0,1.9190781
0.0,1.0,0.41497335,0.50514996
0.0,1.0,1.1139433,2.1875207
0.0,2.0,-0.39794,0.4913617
0.0,0.0,-0.22184876,1.7853298
0.0,1.0,-0.20065945,1.8750613
0.0,1.0,-0.20065945,1.8573325
0.0,1.0,0.41497335,-0.22184876
1.0,1.0,1.09691,2.0791812
0.0,1.0,0.30103,3.4199557
0.0,2.0,-0.017728766,1.5797836
0.0,1.0,1.0,1.5563025
0.0,2.0,1.306425,2.7435098
0.0,1.0,0.07918125,1.8920946
0.0,1.0,-0.38721615,2.4409091
0.0,1.0,-1.1366771,2.8920946
0.0,1.0,-0.82390875,2.807535
0.0,1.0,-0.63827217,2.4502492
0.0,1.0,0.39794,2.2648177
0.0,1.0,0.4913617,2.7242758
0.0,1.0,-0.07058107,2.8175654
0.0,1.0,0.6232493,0.86332285
0.0,0.0,1.3802112,1.8325089
0.0,0.0,0.60206,1.3222193
0.0,2.0,2.30103,2.0
0.0,1.0,-0.2596373,2.705008
0.0,1.0,-1.154902,1.0413927
0.0,1.0,-0.52287877,1.8976271
1.0,1.0,1.5740312,2.3521826
0.0,1.0,-0.113509275,1.6720978
0.0,1.0,1.4149734,3.07225
0.0,2.0,-1.69897,2.8142476
0.0,1.0,-0.36653155,1.8750613
1.0,2.0,-0.22184876,2.4693801
0.0,0.0,-0.52287877,1.238046
0.0,1.0,-0.39254498,1.9242793
0.0,2.0,-0.30103,1.2552725
1.0,2.0,0.5563025,1.7839036
0.0,2.0,-0.30103,2.1992066
0.0,1.0,0.64097804,2.4149733
1.0,2.0,1.30103,2.1364036
1.0,0.0,-0.82390875,1.8898617
0.0,1.0,-0.39794,1.4712917
1.0,0.0,-1.60206,0.44715804
0.0,1.0,-0.30103,1.50515
0.0,2.0,0.0,0.6232493
1.0,0.0,-0.04575749,1.8976271
0.0,1.0,0.0,1.0
0.0,0.0,-0.69897,1.367356
0.0,2.0,-1.2600323,2.1031191
0.0,1.0,-0.69897,1.7323937
1.0,2.0,-0.24987747,0.44715804
1.0,2.0,-0.08354605,-0.22184876
0.0,2.0,-0.71669877,0.47712126
1.0,1.0,1.7147293,0.43136376
1.0,1.0,0.69897,1.1643529
0.0,1.0,0.60206,2.4065402
1.0,1.0,0.23678909,1.238046
0.0,1.0,-0.30103,1.2455127
1.0,2.0,0.38527104,0.79934055
1.0,2.0,0.119338386,1.7242758
1.0,2.0,0.159492,1.1398791
1.0,1.0,1.0334238,0.7781513
1.0,2.0,0.23678909,0.69897
0.0,0.0,-0.66005194,2.317018
1.0,2.0,-0.2450786,1.2600714
1.0,2.0,0.40333503,1.0827854
1.0,1.0,-1.2218487,0.6812412
0.0,1.0,0.49485,1.8859264
0.0,2.0,-0.69897,2.7824726
1.0,2.0,0.2097664,1.6434526
1.0,2.0,0.0,1.3424227
1.0,2.0,-0.55284196,1.1702617
1.0,2.0,1.4771212,2.0934217
1.0,1.0,1.30103,2.1199155
0.0,0.0,-0.39794,0.32221928
1.0,1.0,0.7781513,1.5670264
1.0,2.0,0.7781513,1.9294189
0.0,1.0,-0.124938734,0.69897
1.0,2.0,-0.61978877,0.11394335
1.0,1.0,0.79588,1.8762178
1.0,1.0,0.7781513,1.6127839
0.0,1.0,-0.52287877,0.845098
0.0,0.0,-0.82390875,1.0413927
0.0,1.0,-0.82390875,1.2787536
1.0,2.0,0.17609125,0.67209786
0.0,1.0,0.92272544,2.1804125
0.0,1.0,0.30103,1.722634
1.0,2.0,-0.03151705,1.3443923
0.0,2.0,1.0211893,2.1682026
0.0,2.0,0.30103,1.9190781
1.0,1.0,0.24303804,0.17609125
0.0,1.0,1.0,0.6532125
0.0,1.0,1.0,1.3222193
1.0,2.0,1.230449,1.9777236
0.0,0.0,0.845098,1.9580859
0.0,2.0,0.07918125,1.5797836
1.0,2.0,-0.39794,1.1846914
0.0,2.0,0.64097804,2.5327544
1.0,2.0,0.845098,1.9590414
1.0,1.0,0.0,1.3138672
1.0,2.0,-1.1249387,0.6232493
1.0,2.0,1.2552725,1.9698817
1.0,1.0,0.30103,1.2355285
1.0,1.0,0.7403627,2.3944516
1.0,2.0,0.845098,1.2900347
1.0,1.0,1.30103,1.6106602
1.0,2.0,0.90309,1.462398
1.0,1.0,1.3617278,2.2787535
1.0,2.0,1.60206,1.8639174
1.0,1.0,1.3758464,2.0538464
1.0,2.0,-0.07058107,2.765445
1.0,2.0,2.0791812,2.2725377
1.0,1.0,1.0,1.2855573
1.0,2.0,1.60206,1.6063814
1.0,2.0,0.845098,0.9294189
1.0,2.0,1.30103,1.2355285
1.0,2.0,0.47712126,2.0802655
0.0,1.0,-1.1249387,0.748188
0.0,0.0,0.0,0.60206
1.0,2.0,0.60206,3.3865168
0.0,0.0,0.47712126,1.5263393
1.0,2.0,-0.15490197,0.30103
0.0,1.0,0.39794,1.7611759
1.0,2.0,0.69897,2.067443
1.0,2.0,0.25072488,-0.15490197
0.0,0.0,-0.52287877,1.6232493
0.0,1.0,-1.0457575,1.6232493
0.0,2.0,0.6532125,2.0289776
0.0,1.0,0.0,1.9867717
1.0,2.0,-0.22184876,1.1205739
1.0,2.0,0.78354627,0.96378785
1.0,1.0,0.30103,0.98227125
1.0,2.0,0.60206,1.2479733
1.0,1.0,0.845098,1.6785184
1.0,2.0,1.1760913,2.195346
1.0,1.0,1.0,1.9818186
