稳定性,主要物质组成,坝体体积,集水区面积
0.0,2.0,-0.40823996,1.9537597
0.0,0.0,-0.73518217,1.3560258
0.0,1.0,1.0,2.2227166
0.0,2.0,-1.0,2.3802114
0.0,2.0,-1.0,0.6532125
0.0,1.0,-0.30103,1.5965971
0.0,1.0,0.47712126,2.1119342
0.0,1.0,-0.69897,1.4183013
0.0,1.0,-0.7447275,0.9912261
0.0,1.0,-0.82390875,-0.15490197
0.0,0.0,-0.32330638,1.2455127
0.0,2.0,-1.60206,1.2855573
0.0,1.0,0.47712126,2.7087607
0.0,1.0,0.30103,2.9498777
0.0,2.0,-1.30103,0.44715804
0.0,0.0,-1.69897,0.748188
0.0,0.0,-2.0,1.9590414
0.0,0.0,0.0,1.9116901
0.0,2.0,0.54406804,0.85125834
0.0,2.0,-0.39794,2.4978967
0.0,1.0,0.17609125,2.114611
0.0,1.0,-0.82390875,1.9415114
0.0,1.0,-0.52287877,1.3891661
0.0,0.0,-1.1249387,0.9542425
0.0,1.0,0.0,2.9008584
0.0,1.0,-0.31875876,1.367356
0.0,1.0,0.2552725,2.0326188
0.0,1.0,0.17609125,2.3479152
0.0,2.0,-1.0,0.11394335
1.0,1.0,0.60206,1.146128
1.0,1.0,0.39794,2.7890162
1.0,1.0,0.37199092,2.854306
1.0,1.0,1.7583734,1.1903317
1.0,2.0,1.0,2.301681
1.0,2.0,0.69897,1.9754318
1.0,2.0,0.811575,2.3094172
1.0,2.0,0.39794,1.8312297
1.0,1.0,1.69897,1.7803173
1.0,2.0,1.1303338,2.2027607
1.0,1.0,1.1760913,1.6106602
1.0,2.0,0.17609125,1.4149734
1.0,1.0,0.39794,1.1205739
1.0,2.0,1.60206,2.1731863
1.0,1.0,-0.4436975,0.9294189
1.0,2.0,0.41497335,2.4908009
1.0,2.0,1.30103,2.7477224
1.0,2.0,-0.39794,1.510545
