稳定性,主要物质组成,坝体体积,下游河道坡度
1,2,0.17609125,0.30103
0,1,0.39794,-0.04575749
0,1,1,0.20411998
1,2,-0.22184876,0.07918125
0,0,-0.52287877,0.4913617
0,1,-0.39254498,1.2227165
0,2,-0.30103,0.23044892
1,2,0.5563025,0.23044892
0,2,-0.30103,-0.69897
0,1,0.64097804,-0.39794
1,2,1.30103,0
1,0,-0.82390875,0.23044892
0,1,-0.39794,0.3424227
1,0,-1.60206,0.43136376
0,1,-0.30103,0.17609125
0,2,0,0.59106463
1,0,-0.04575749,0.2787536
0,1,0,0.79934055
0,0,-0.69897,-0.22184876
0,2,-1.2600323,-0.22184876
0,1,-0.69897,0.41497335
1,2,-0.24987747,0.69897
0,2,-0.71669877,0.9242793
1,1,0.69897,0.9777236
0,1,0.60206,-0.096910015
1,1,0.23678909,0.7242759
0,1,-0.30103,0.53147894
1,2,0.38527104,0.5185139
1,2,0.119338386,-0.52287877
1,2,0.159492,-0.096910015
1,2,0.23678909,0.54406804
0,0,-0.66005194,0.60206
1,2,-0.2450786,0.041392684
1,2,0.40333503,0
1,1,-1.2218487,0.54406804
0,1,0.49485,0.14612803
0,2,-0.69897,-0.52287877
1,2,0.2097664,0.14612803
1,2,0,0
1,2,-0.55284196,0.43136376
1,2,1.4771212,0.041392684
1,1,1.30103,-0.096910015
0,0,-0.39794,1
1,1,0.7781513,0.07918125
1,2,0.7781513,0.041392684
0,1,-0.124938734,0.81954396
1,2,-0.61978877,0.5563025
1,1,0.79588,0.23044892
1,1,0.7781513,0.53147894
0,1,-0.52287877,0.8920946
0,0,-0.82390875,0.07918125
0,1,-0.82390875,0.07918125
1,2,0.17609125,0.5563025
0,1,0.92272544,-0.15490197
0,1,0.30103,0.14612803
1,2,-0.03151705,0.3424227
0,2,1.0211893,0.07918125
0,2,0.30103,0.17609125
1,1,0.24303804,1.3384565
0,1,1,0.61278385
0,1,1,0.47712126
1,2,1.230449,-0.22184876
0,0,0.845098,0.60206
0,2,0.07918125,0.2787536
1,2,-0.39794,0.54406804
0,2,0.64097804,-0.39794
1,2,0.845098,-0.22184876
1,1,0,0.2787536
1,2,-1.1249387,0.41497335
1,2,1.2552725,0
1,1,0.30103,1.3201463
1,1,0.7403627,-0.096910015
1,2,0.845098,0.7781513
1,1,1.30103,0.80618
1,2,0.90309,0.60206
1,1,1.3617278,-0.30103
1,2,1.60206,0.54406804
1,1,1.3758464,-0.22184876
1,2,-0.07058107,0
1,2,2.0791812,0.041392684
1,1,1,0.50514996
1,2,1.60206,0.7558749
1,2,0.845098,0.5185139
1,2,0.11394335,0.9542425
1,2,0.47712126,0.07918125
0,1,-1.1249387,1.2741579
0,0,0,0.5797836
1,2,0.60206,-0.52287877
0,0,0.47712126,0.30103
1,2,-0.15490197,0.81291336
0,1,0.39794,-0.69897
1,2,0.69897,0.8325089
1,2,0.25072488,0.63346845
0,0,-0.52287877,0.041392684
0,1,-1.0457575,0.041392684
0,2,0.6532125,-0.04575749
0,1,0,0.4913617
0,2,-1,0.9777236
1,2,-0.22184876,-0.30103
1,2,0.78354627,0.44715804
0,1,0.17609125,0.5563025
1,1,0.30103,0.23044892
0,1,0.2552725,0.041392684
0,1,-0.31875876,0.54406804
1,2,0.60206,0.07918125
1,1,0.845098,0.07918125
1,2,1.1760913,0.36172783
0,1,0,0.83884907
0,0,-1.1249387,1.0086001
0,1,-0.52287877,0.2787536
0,1,-0.82390875,0.53147894
0,1,0.17609125,0.32221928
0,2,-0.39794,0.14612803
0,2,0.54406804,0.81954396
0,0,0,0.07918125
0,0,-2,-0.096910015
0,0,-1.69897,0.2787536
0,2,-0.40823996,0.07918125
0,1,1,0.20411998
0,2,-1,0.041392684
0,2,0.39794,-0.30103
0,2,-1,0.4913617
0,1,-0.30103,0.60206
0,1,0.47712126,0.47712126
0,1,-0.69897,1.1303338
0,1,-0.7447275,0.67209786
0,1,-0.82390875,0.9912261
0,0,-0.32330638,0.07918125
0,2,-1.60206,0.2787536
0,1,0.47712126,-0.04575749
0,1,0.30103,-0.04575749
0,2,-1.30103,0.69897
1,1,0.37199092,-0.69897
1,1,1.7583734,0.07918125
1,2,1,0.14612803
1,2,0.69897,0.44715804
1,2,0.811575,0.11394335
1,2,0.39794,0
1,2,1.1303338,0.11394335
1,1,1.1760913,0.30103
1,2,0.17609125,0.6532125
1,1,0.39794,0.54406804
1,2,1.60206,0
1,1,-0.4436975,0.39794
1,2,0.41497335,0.041392684
1,2,1.30103,-0.04575749
1,2,-0.39794,0.20411998
1,1,1,0.07918125
