稳定性,主要物质组成,坝体体积,下游河道坡度
0.0,2.0,-0.40823996,0.07918125
0.0,1.0,1.0,0.20411998
0.0,2.0,-1.0,0.041392684
0.0,2.0,0.39794,-0.30103
0.0,2.0,-1.0,0.4913617
0.0,1.0,-0.30103,0.60206
0.0,1.0,0.47712126,0.47712126
0.0,1.0,-0.69897,1.1303338
0.0,1.0,-0.7447275,0.67209786
0.0,1.0,-0.82390875,0.9912261
0.0,0.0,-0.32330638,0.07918125
0.0,2.0,-1.60206,0.2787536
0.0,1.0,0.47712126,-0.04575749
0.0,1.0,0.30103,-0.04575749
0.0,2.0,-1.30103,0.69897
1.0,1.0,0.37199092,-0.69897
1.0,1.0,1.7583734,0.07918125
1.0,2.0,1.0,0.14612803
1.0,2.0,0.69897,0.44715804
1.0,2.0,0.811575,0.11394335
1.0,2.0,0.39794,0.0
1.0,2.0,1.1303338,0.11394335
1.0,1.0,1.1760913,0.30103
1.0,2.0,0.17609125,0.6532125
1.0,1.0,0.39794,0.54406804
1.0,2.0,1.60206,0.0
1.0,1.0,-0.4436975,0.39794
1.0,2.0,0.41497335,0.041392684
1.0,2.0,1.30103,-0.04575749
1.0,2.0,-0.39794,0.20411998
1.0,1.0,1.0,0.07918125
