稳定性,坝体体积,坝体高度,集水区面积
0.0,-0.40823996,1.69897,1.9537597
0.0,-0.73518217,1.4771212,1.3560258
0.0,-0.43179828,1.1760913,0.17609125
0.0,-0.5808707,1.30103,1.9116901
0.0,1.0,1.60206,2.2227166
0.0,-1.0,1.0,2.3802114
0.0,-1.0,0.9542425,0.6532125
0.0,1.5440681,1.69897,2.7323937
0.0,-0.30103,1.0,1.5965971
0.0,-0.52287877,1.0,2.0413928
0.0,-0.69897,0.69897,1.4183013
0.0,-0.7447275,1.1760913,0.9912261
0.0,-0.82390875,1.09691,-0.15490197
0.0,-0.32330638,1.1760913,1.2455127
0.0,-1.60206,0.69897,1.2855573
0.0,-0.30103,1.30103,2.180699
0.0,0.30103,1.6334685,2.9498777
0.0,-1.30103,1.0791812,0.44715804
0.0,-1.69897,1.1760913,0.748188
0.0,-2.0,0.69897,1.9590414
0.0,0.0,1.1760913,1.9116901
0.0,0.17609125,1.60206,0.8976271
0.0,0.54406804,1.4771212,0.85125834
0.0,-0.39794,1.0,2.4978967
0.0,0.17609125,0.90309,2.114611
0.0,-0.82390875,1.0,1.9415114
0.0,-0.52287877,1.30103,1.3891661
0.0,-1.1249387,1.0,0.9542425
0.0,0.0,0.69897,2.9008584
0.0,-0.31875876,1.30103,1.367356
0.0,0.2552725,1.4771212,2.0326188
0.0,0.17609125,0.845098,2.3479152
0.0,-0.50168943,1.2730013,2.4149733
0.0,-1.0,1.1760913,0.11394335
1.0,0.60206,1.60206,1.146128
1.0,0.39794,1.39794,2.7890162
1.0,0.37199092,1.30103,2.854306
1.0,1.7583734,1.5440681,1.1903317
1.0,1.0,1.4771212,2.301681
1.0,0.69897,1.4771212,1.9754318
1.0,0.811575,1.4771212,2.3094172
1.0,0.39794,1.4771212,1.8312297
1.0,1.69897,1.9542425,1.7803173
1.0,1.1303338,1.60206,2.2027607
1.0,1.1760913,1.30103,1.6106602
1.0,0.17609125,1.60206,1.4149734
1.0,0.39794,1.30103,1.1205739
1.0,1.60206,1.69897,2.1731863
1.0,-0.4436975,1.1760913,0.9294189
1.0,-0.2600323,1.30103,0.67209786
1.0,0.41497335,1.30103,2.4908009
1.0,1.30103,1.6532125,2.7477224
1.0,-0.39794,1.1760913,1.510545
1.0,1.0,1.5440681,1.9818186
1.0,1.1760913,2.0,2.195346
1.0,0.845098,1.4771212,1.6785184
1.0,0.60206,1.30103,1.2479733
1.0,0.30103,1.30103,0.98227125
1.0,0.78354627,1.90309,0.96378785
1.0,-0.22184876,1.30103,1.1205739
1.0,0.25072488,1.7781513,-0.15490197
