稳定性,坝体体积,坝体高度,坝体长度,坝体宽度,下游河道坡度
1,0.17609125,1.30103,2.30103,2.6532125,0.30103
1,1.20412,1.845098,2.60206,2.7781513,-0.15490197
1,-0.18708664,1.1760913,2.0791812,2.544068,0.8325089
0,0.39794,1.6334685,2.4771214,2.968483,-0.04575749
0,1,1.60206,2.69897,3,0.20411998
1,1.2552725,1.30103,3.0791812,3.2552724,0.17609125
1,-0.22184876,0.845098,2.544068,2.7403626,0.07918125
0,-0.52287877,1.30103,2.243038,2.39794,0.4913617
0,-0.39254498,1,2.4771214,2.4771214,1.2227165
0,-0.30103,1,2.6232493,2.531479,0.23044892
1,0.5563025,1.4771212,2.243038,2.845098,0.23044892
0,-0.30103,1.30103,2.1760912,2.39794,-0.69897
0,0.64097804,1.39794,2.39794,2.845098,-0.39794
1,1.30103,1.60206,3.0413928,3.0681858,0
1,-0.82390875,0.60206,2.2787535,2.531479,0.23044892
0,-0.39794,0.60206,2.7242758,2.544068,0.3424227
1,0.36810085,1.30103,2.5899496,2.7781513,-0.096910015
1,-1.60206,0.69897,1.9777236,2,0.43136376
0,-0.30103,1.30103,2.0413928,2.361728,0.17609125
0,0,1.4771212,2.20412,2.672098,0.59106463
1,-0.04575749,1.30103,2.544068,2.39794,0.2787536
0,-0.69897,0.90309,2.0413928,2.50515,-0.22184876
0,-1.2600323,1,1.845098,2.1760912,-0.22184876
0,-0.69897,1,2.2552724,2.361728,0.41497335
1,-0.24987747,1.4771212,2,2.5740314,0.69897
0,-0.71669877,0.9542425,1.845098,2.7781513,0.9242793
1,0.69897,1.30103,2.8129134,2.929419,0.9777236
0,0.60206,1.7781513,2.672098,2.6532125,-0.096910015
1,0.23678909,1.5502284,1.8750613,2.7596679,0.7242759
0,-0.69897,1,1.8750613,2.7403626,-0.52287877
0,-0.30103,1.1760913,2.2552724,2.6532125,0.53147894
1,0.38527104,1.8750613,2.243038,2.5682018,0.5185139
1,0.119338386,1.4149734,2.3521826,2.6532125,-0.52287877
1,0.159492,1.7403626,2.1760912,2.544068,-0.096910015
1,0.23678909,1.60206,2.1760912,2.7596679,0.54406804
0,-0.66005194,1.243038,2.39794,2,0.60206
1,-0.2450786,1.447158,2.09691,2.5118833,0.041392684
1,0.40333503,1.8750613,2.1760912,2.6532125,0
1,-1.2218487,0.7781513,1.69897,2.30103,0.54406804
0,0.49485,1.39794,2.39794,2.4771214,0.14612803
0,-0.69897,0.69897,2.30103,2.60206,-0.52287877
1,0.2097664,1.7558749,2.243038,2.5118833,0.14612803
1,0,1.1760913,2.30103,2.544068,0
1,-0.55284196,1.1760913,1.845098,2.30103,0.43136376
1,1.4771212,1.60206,2.845098,3.0791812,0.041392684
1,1.30103,1.90309,3.0413928,3,-0.096910015
0,-0.39794,1.30103,2,2.30103,1
1,0.7781513,1.4771212,2.845098,2.60206,0.07918125
1,0.7781513,1.69897,2.4771214,2.7781513,0.041392684
0,-0.124938734,1.4771212,2.1760912,2.544068,0.81954396
1,-0.61978877,1,2.3802114,2.30103,0.5563025
1,0.79588,1.39794,2.39794,3,0.23044892
1,0.7781513,2,2.3424227,2.7242758,0.53147894
0,-0.52287877,1.0791812,2.30103,2.4313638,0.8920946
0,-0.82390875,1,2,2.4313638,0.07918125
