稳定性,坝体体积,坝体高度,下游河道坡度
1,0.17609125,1.30103,0.30103
1,1.20412,1.845098,-0.15490197
1,-0.18708664,1.1760913,0.8325089
0,0.39794,1.6334685,-0.04575749
0,1,1.60206,0.20411998
1,1.2552725,1.30103,0.17609125
1,-0.22184876,0.845098,0.07918125
0,-0.52287877,1.30103,0.4913617
0,-0.39254498,1,1.2227165
0,-0.30103,1,0.23044892
1,0.5563025,1.4771212,0.23044892
0,-0.30103,1.30103,-0.69897
0,0.64097804,1.39794,-0.39794
1,1.30103,1.60206,0
1,-0.82390875,0.60206,0.23044892
0,-0.39794,0.60206,0.3424227
1,0.36810085,1.30103,-0.096910015
1,-1.60206,0.69897,0.43136376
0,-0.30103,1.30103,0.17609125
0,0,1.4771212,0.59106463
1,-0.04575749,1.30103,0.2787536
0,-0.69897,0.90309,-0.22184876
0,-1.2600323,1,-0.22184876
0,-0.69897,1,0.41497335
1,-0.24987747,1.4771212,0.69897
0,-0.71669877,0.9542425,0.9242793
1,0.69897,1.30103,0.9777236
0,0.60206,1.7781513,-0.096910015
1,0.23678909,1.5502284,0.7242759
0,-0.69897,1,-0.52287877
0,-0.30103,1.1760913,0.53147894
1,0.38527104,1.8750613,0.5185139
1,0.119338386,1.4149734,-0.52287877
1,0.159492,1.7403626,-0.096910015
1,0.23678909,1.60206,0.54406804
0,-0.66005194,1.243038,0.60206
1,-0.2450786,1.447158,0.041392684
1,0.40333503,1.8750613,0
1,-1.2218487,0.7781513,0.54406804
0,0.49485,1.39794,0.14612803
0,-0.69897,0.69897,-0.52287877
1,0.2097664,1.7558749,0.14612803
1,0,1.1760913,0
1,-0.55284196,1.1760913,0.43136376
1,1.4771212,1.60206,0.041392684
1,1.30103,1.90309,-0.096910015
0,-0.39794,1.30103,1
1,0.7781513,1.4771212,0.07918125
1,0.7781513,1.69897,0.041392684
0,-0.124938734,1.4771212,0.81954396
1,-0.61978877,1,0.5563025
1,0.79588,1.39794,0.23044892
1,0.7781513,2,0.53147894
0,-0.52287877,1.0791812,0.8920946
0,-0.82390875,1,0.07918125
0,-0.82390875,1.0791812,0.07918125
1,0.17609125,1.60206,0.5563025
0,0.92272544,1.4771212,-0.15490197
1,-0.03151705,1.1760913,0.3424227
0,1.0211893,1.90309,0.07918125
0,0.30103,1.1760913,0.17609125
1,0.24303804,1.60206,1.3384565
0,1.20412,1.845098,-0.15490197
0,1,1.69897,0.47712126
1,1.230449,1.519828,-0.22184876
0,0.845098,1.39794,0.60206
0,0.07918125,1.39794,0.2787536
1,-0.18708664,1.1760913,0.8325089
1,-0.39794,1.1760913,0.54406804
0,0.64097804,1.5440681,-0.39794
0,0.17609125,1.60206,-0.22184876
1,1.1003705,1.60206,0.30103
1,0.845098,1.30103,-0.22184876
1,0,1,0.2787536
1,-1.1249387,1,0.41497335
1,1.2552725,1.60206,0
1,0.30103,1.1760913,1.3201463
1,0.7403627,1.20412,-0.096910015
1,0.845098,1.6532125,0.7781513
1,1.30103,1.69897,0.80618
1,0.90309,1.30103,0.60206
1,1.3617278,1.845098,-0.30103
1,1.60206,1.4771212,0.54406804
1,1.3758464,1.7781513,-0.22184876
1,-0.07058107,1.30103,0
1,2.0791812,2,0.041392684
1,1,1.69897,0.50514996
1,1.60206,1.6532125,0.7558749
1,0.845098,1.4771212,0.5185139
1,0.11394335,1.1760913,0.9542425
1,0.47712126,1.4771212,0.07918125
0,-1.1249387,0.69897,1.2741579
0,0,1,0.5797836
1,0.60206,1.30103,-0.52287877
0,0.47712126,1.1760913,0.30103
1,-0.15490197,1.1760913,0.81291336
0,0.39794,0.69897,-0.69897
1,0.69897,1.60206,0.8325089
1,0.25072488,1.7781513,0.63346845
0,-0.52287877,1.1760913,0.041392684
0,-1.0457575,1,0.041392684
0,0.6532125,1.39794,-0.04575749
0,0,1,0.4913617
0,-1,1.1760913,0.9777236
1,-0.22184876,1.30103,-0.30103
0,-0.50168943,1.2730013,-0.39794
1,0.78354627,1.90309,0.44715804
0,0.17609125,0.845098,0.5563025
1,0.30103,1.30103,0.23044892
0,0.2552725,1.4771212,0.041392684
0,-0.31875876,1.30103,0.54406804
1,0.60206,1.30103,0.07918125
1,0.845098,1.4771212,0.07918125
1,1.1760913,2,0.36172783
0,0,0.69897,0.83884907
0,-1.1249387,1,1.0086001
0,-0.52287877,1.30103,0.2787536
0,-0.82390875,1,0.53147894
0,0.17609125,0.90309,0.32221928
0,-0.39794,1,0.14612803
0,0.54406804,1.4771212,0.81954396
0,0.17609125,1.60206,0.63346845
0,0,1.1760913,0.07918125
0,-2,0.69897,-0.096910015
0,-1.69897,1.1760913,0.2787536
0,-1.30103,1.0791812,0.69897
0,-0.40823996,1.69897,0.07918125
0,-0.5808707,1.30103,0.07918125
0,1,1.60206,0.20411998
0,-1,1,0.041392684
0,-1,0.9542425,0.4913617
0,1.5440681,1.69897,0.07918125
0,-0.30103,1,0.60206
0,-0.52287877,1,-0.30103
0,-0.69897,0.69897,1.1303338
0,-0.7447275,1.1760913,0.67209786
0,-0.82390875,1.09691,0.9912261
0,-0.32330638,1.1760913,0.07918125
0,-1.60206,0.69897,0.2787536
0,-0.30103,1.30103,0.11394335
0,0.30103,1.6334685,-0.04575749
